"","d.id","p.id","name","value","valType","startLine","scriptNum","scriptName"
"1","d1","p3","d","10","{""container"":""vector"", ""dimension"":[1], ""type"":[""numeric""]}",1,1,"console"
"2","d2","p4","a","1","{""container"":""vector"", ""dimension"":[1], ""type"":[""numeric""]}",2,1,"console"
"3","d2","p6","a","1","{""container"":""vector"", ""dimension"":[1], ""type"":[""numeric""]}",5,1,"console"
"4","d3","p4","vector.1"," 1  2  3  4  5  6  7  8  9 10","{""container"":""vector"", ""dimension"":[10], ""type"":[""integer""]}",2,1,"console"
"5","d5","p6","e","11","{""container"":""vector"", ""dimension"":[1], ""type"":[""numeric""]}",5,1,"console"
"6","d6","p7","f","20","{""container"":""vector"", ""dimension"":[1], ""type"":[""numeric""]}",6,1,"console"
"7","d7","p8","vector.2","11 12 13 14 15 16 17 18 19 20","{""container"":""vector"", ""dimension"":[10], ""type"":[""integer""]}",7,1,"console"
"8","d11","p12","vector.3","21 22 23 24 25 26 27 28 29 30","{""container"":""vector"", ""dimension"":[10], ""type"":[""integer""]}",15,1,"console"
"9","d12","p13","vector.4","41 42 43 44 45 46 47 48 49 50","{""container"":""vector"", ""dimension"":[10], ""type"":[""integer""]}",16,1,"console"
"10","d14","p15","b","5","{""container"":""vector"", ""dimension"":[1], ""type"":[""numeric""]}",20,1,"console"
"11","d15","p15","g","55","{""container"":""vector"", ""dimension"":[1], ""type"":[""numeric""]}",20,1,"console"
